Record#;Publisher;Publication Title;UKB APC discount %;HOOP1;HOOP2;HOOP3;Impact Factor 2014;JCR Quartile 2014;"ISSN
print";"ISSN
Online";Collection Code;Collection 2016;URL;;JCR subject category;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11584;Elsevier;Blood Cells, Molecules, and Diseases;100;Gezondheid;;;2.646;Q2;1079-9796;1096-0961;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/10799796; ;"EDUCATION, SPECIAL;REHABILITATION;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11608;Elsevier;Building and Environment;100;Techniek;;;3.341;Q1;0360-1323;0360-1323;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03601323; ;"FOOD SCIENCE & TECHNOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20574;Elsevier;Cancer Epidemiology;100;Gezondheid;;;2.711;Q3;1877-7821;1877-7821;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/18777821; ;"GEOGRAPHY;WOMEN'S STUDIES;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23238;Elsevier;Cancer Genetics;100;Gezondheid;;;2.975;Q2;2210-7762;2210-7762;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/22107762; ;"MANAGEMENT;WOMEN'S STUDIES;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11624;Elsevier;Cancer Letters;100;Gezondheid;;;5.621;Q1;0304-3835;0304-3835;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03043835; ;"ASTRONOMY & ASTROPHYSICS;PHYSICS, MULTIDISCIPLINARY;PHYSICS, PARTICLES & FIELDS;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20575;Elsevier;Cancer Treatment Reviews;100;Gezondheid;;;7.588;Q1;0305-7372;0305-7372;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/03057372; ;"CELL BIOLOGY;GENETICS & HEREDITY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11629;Elsevier;Carbon;100;Natuur;;;6.196;Q1;0008-6223;0008-6223;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/00086223; ;"AGRONOMY;PLANT SCIENCES;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11633;Elsevier;Cardiovascular Pathology;100;Gezondheid;;;2.000;Q3;1054-8807;1054-8807;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/10548807; ;"ENVIRONMENTAL SCIENCES;GEOSCIENCES, MULTIDISCIPLINARY;REMOTE SENSING;IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20576;Elsevier;Cardiovascular Revascularization Medicine;100;Gezondheid;;;;;1553-8389;1553-8389;"ELS01;ELS05";"ELSEVIER Freedom Collection;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/15538389; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11652;Elsevier;Cellular Immunology;100;Gezondheid;Natuur;;1.924;Q4;0008-8749;1090-2163;"ELS01;ELS04;ELS05";"ELSEVIER Freedom Collection;ELSEVIER Deep Archive;Elsevier NL OA publ 2016-2018";http://www.sciencedirect.com/science/journal/00088749; ;"DENTISTRY, ORAL SURGERY & MEDICINE;GERIATRICS & GERONTOLOGY;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
